PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1000.0,212, , , , , , , , , 
925.0,863, , , , , , , , , 
850.0,1560, , , , , , , , , 
844.0,1619,1.6,-1.1,82,4.20,25,3,288.4,300.7,289.1
840.0,1657,2.2,-3.8,65,3.45,359,3,289.4,299.6,290.0
825.0,1803,2.4,-4.6,60,3.31,263,3,291.1,301.0,291.7
822.3,1829,2.2,-4.6,61,3.32,245,3,291.1,301.1,291.7
803.0,2020,0.4,-4.6,69,3.40,339,2,291.2,301.4,291.9
794.0,2111,0.8,-5.2,64,3.28,24,1,292.6,302.5,293.2
791.7,2134,0.6,-5.3,65,3.27,35,1,292.6,302.5,293.2
762.1,2438,-2.1,-6.7,71,3.05,230,1,292.9,302.2,293.5
760.0,2460,-2.3,-6.8,71,3.04,222,1,292.9,302.1,293.5
733.3,2743,-4.7,-6.4,88,3.24,120,2,293.4,303.2,293.9
733.0,2746,-4.7,-6.4,88,3.25,119,2,293.4,303.2,293.9
700.0,3107,-6.9,-8.3,90,2.93,25,8,294.8,303.8,295.3
690.0,3219,-7.3,-8.8,89,2.86,31,10,295.6,304.4,296.1
682.0,3310,-8.5,-13.4,68,2.00,36,12,295.2,301.5,295.6
680.0,3333,-8.1,-14.1,62,1.90,37,13,295.9,301.9,296.3
672.0,3425,-7.5,-12.1,70,2.26,42,14,297.6,304.7,298.0
667.0,3483,-7.5,-14.5,57,1.87,45,16,298.2,304.2,298.6
652.1,3658,-8.7,-14.2,64,1.96,55,19,298.8,305.1,299.2
647.0,3720,-9.1,-14.1,67,2.00,55,17,299.0,305.4,299.4
634.0,3876,-9.9,-16.9,57,1.61,55,13,299.9,305.1,300.1
627.0,3962,-9.8,-19.0,47,1.37,55,11,300.9,305.4,301.1
602.7,4267,-9.5,-26.3,24,0.74,25,9,304.6,307.2,304.8
599.0,4315,-9.5,-27.5,22,0.67,34,8,305.2,307.6,305.4
579.2,4572,-10.8,-33.0,14,0.41,80,5,306.6,308.1,306.7
556.6,4877,-12.3,-39.5,8,0.22,80,9,308.3,309.2,308.4
540.0,5110,-13.5,-44.5,5,0.14,71,11,309.6,310.2,309.7
513.7,5486,-16.4,-50.0,4,0.08,55,15,310.6,310.9,310.6
500.0,5690,-17.9,-52.9,3,0.06,70,18,311.1,311.4,311.2
493.2,5791,-18.9,-52.0,4,0.06,75,18,311.2,311.4,311.2
473.2,6096,-21.8,-49.3,6,0.09,60,16,311.3,311.6,311.3
458.0,6337,-24.1,-47.1,10,0.12,52,16,311.3,311.8,311.3
454.0,6401,-24.5,-46.1,12,0.14,50,16,311.6,312.1,311.6
441.0,6612,-25.9,-42.9,19,0.20,49,19,312.4,313.2,312.4
436.0,6694,-26.7,-34.7,47,0.46,48,20,312.4,314.1,312.5
430.0,6794,-27.5,-34.5,51,0.48,48,21,312.6,314.4,312.7
425.0,6878,-28.1,-42.1,25,0.22,47,22,312.9,313.8,313.0
421.0,6946,-28.5,-46.5,16,0.14,47,23,313.2,313.8,313.3
412.0,7100,-29.7,-38.7,41,0.33,46,24,313.6,314.9,313.7
400.0,7310,-31.3,-41.3,37,0.26,45,27,314.2,315.2,314.3
399.7,7315,-31.3,-41.4,36,0.26,40,26,314.2,315.2,314.3
382.7,7620,-33.6,-47.0,25,0.15,60,27,315.2,315.7,315.2
366.5,7925,-35.9,-52.6,16,0.08,65,29,316.1,316.4,316.1
365.0,7953,-36.1,-53.1,16,0.08,64,29,316.1,316.5,316.2
350.7,8230,-38.5,-53.8,18,0.07,50,31,316.6,316.9,316.6
348.0,8283,-38.9,-53.9,19,0.07,51,32,316.7,317.0,316.7
336.0,8524,-40.5,-58.5,13,0.04,55,35,317.7,317.9,317.7
331.0,8626,-39.9,-59.9,10,0.04,56,37,319.9,320.1,319.9
306.6,9144,-44.7,-60.1,16,0.04,65,44,320.2,320.4,320.2
300.0,9290,-46.1,-60.1,19,0.04,65,44,320.3,320.4,320.3
285.0,9629,-49.1,-61.1,23,0.04,65,50,320.7,320.9,320.7
279.6,9754,-49.9,-61.9,23,0.03,65,52,321.3,321.4,321.3
272.0,9934,-51.1,-63.1,23,0.03,67,49,322.1,322.2,322.1
254.0,10378,-52.9,-70.9,10,0.01,74,40,325.8,325.9,325.8
250.0,10480,-53.7,-71.7,9,0.01,75,38,326.1,326.1,326.1
242.7,10668,-55.2,-72.0,11,0.01,65,35,326.6,326.7,326.6
217.0,11372,-60.9,-72.9,19,0.01,45,39,328.4,328.5,328.4
