Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-01-01 00:00,0.784,0.184,0,0,0,0,v
2017-01-01 00:06,0.825,0.206,0,0,0,0,v
2017-01-01 00:12,0.868,0.184,0,0,0,0,v
2017-01-01 00:18,0.853,0.193,0,0,0,0,v
2017-01-01 00:24,0.846,0.153,0,0,0,0,v
2017-01-01 00:30,0.835,0.155,0,0,0,0,v
2017-01-01 00:36,0.855,0.172,0,0,0,0,v
2017-01-01 00:42,0.876,0.189,0,0,0,0,v
2017-01-01 00:48,0.884,0.182,0,0,0,0,v
2017-01-01 00:54,0.920,0.174,0,0,0,0,v
2017-01-01 01:00,0.925,0.178,0,0,0,0,v
2017-01-01 01:06,0.903,0.194,0,0,0,0,v
2017-01-01 01:12,0.940,0.198,0,0,0,0,v
2017-01-01 01:18,0.955,0.219,0,0,0,0,v
2017-01-01 01:24,0.934,0.198,0,0,0,0,v
2017-01-01 01:30,0.947,0.207,0,0,0,0,v
2017-01-01 01:36,0.923,0.197,0,0,0,0,v
2017-01-01 01:42,0.920,0.190,0,0,0,0,v
2017-01-01 01:48,0.946,0.188,0,0,0,0,v
2017-01-01 01:54,0.899,0.205,0,0,0,0,v
2017-01-01 02:00,0.933,0.191,0,0,0,0,v
2017-01-01 02:06,0.925,0.171,0,0,0,0,v
2017-01-01 02:12,0.912,0.217,0,0,0,0,v
2017-01-01 02:18,0.933,0.201,0,0,0,0,v
2017-01-01 02:24,0.878,0.164,0,0,0,0,v
2017-01-01 02:30,0.885,0.213,0,0,0,0,v
2017-01-01 02:36,0.905,0.000,1,0,0,0,v
2017-01-01 02:42,0.904,0.000,1,0,0,0,v
2017-01-01 02:48,0.864,0.204,0,0,0,0,v
2017-01-01 02:54,0.835,0.186,0,0,0,0,v
2017-01-01 03:00,0.836,0.199,0,0,0,0,v
2017-01-01 03:06,0.861,0.209,0,0,0,0,v
2017-01-01 03:12,0.815,0.229,0,0,0,0,v
2017-01-01 03:18,0.802,0.205,0,0,0,0,v
2017-01-01 03:24,0.775,0.241,0,0,0,0,v
2017-01-01 03:30,0.781,0.196,0,0,0,0,v
2017-01-01 03:36,0.793,0.178,0,0,0,0,v
2017-01-01 03:42,0.775,0.204,0,0,0,0,v
2017-01-01 03:48,0.748,0.178,0,0,0,0,v
2017-01-01 03:54,0.711,0.205,0,0,0,0,v
2017-01-01 04:00,0.696,0.179,0,0,0,0,v
2017-01-01 04:06,0.722,0.179,0,0,0,0,v
2017-01-01 04:12,0.691,0.166,0,0,0,0,v
2017-01-01 04:18,0.690,0.197,0,0,0,0,v
2017-01-01 04:24,0.633,0.190,0,0,0,0,v
2017-01-01 04:30,0.580,0.175,0,0,0,0,v
2017-01-01 04:36,0.551,0.175,0,0,0,0,v
2017-01-01 04:42,0.545,0.191,0,0,0,0,v
2017-01-01 04:48,0.526,0.180,0,0,0,0,v
2017-01-01 04:54,0.467,0.183,0,0,0,0,v
2017-01-01 05:00,0.488,0.171,0,0,0,0,v
2017-01-01 05:06,0.463,0.149,0,0,0,0,v
2017-01-01 05:12,0.396,0.178,0,0,0,0,v
2017-01-01 05:18,0.385,0.162,0,0,0,0,v
2017-01-01 05:24,0.361,0.165,0,0,0,0,v
2017-01-01 05:30,0.314,0.167,0,0,0,0,v
2017-01-01 05:36,0.271,0.150,0,0,0,0,v
2017-01-01 05:42,0.224,0.198,0,0,0,0,v
2017-01-01 05:48,0.212,0.187,0,0,0,0,v
2017-01-01 05:54,0.167,0.166,0,0,0,0,v
2017-01-01 06:00,0.159,0.156,0,0,0,0,v
2017-01-01 06:06,0.119,0.153,0,0,0,0,v
2017-01-01 06:12,0.061,0.157,0,0,0,0,v
2017-01-01 06:18,0.051,0.150,0,0,0,0,v
2017-01-01 06:24,0.032,0.149,0,0,0,0,v
2017-01-01 06:30,0.007,0.149,0,0,0,0,v
2017-01-01 06:36,-0.025,0.153,0,0,0,0,v
2017-01-01 06:42,-0.005,0.131,0,0,0,0,v
2017-01-01 06:48,-0.061,0.154,0,0,0,0,v
2017-01-01 06:54,-0.067,0.143,0,0,0,0,v
2017-01-01 07:00,-0.118,0.152,0,0,0,0,v
2017-01-01 07:06,-0.116,0.141,0,0,0,0,v
2017-01-01 07:12,-0.108,0.131,0,0,0,0,v
2017-01-01 07:18,-0.075,0.146,0,0,0,0,v
2017-01-01 07:24,-0.107,0.152,0,0,0,0,v
2017-01-01 07:30,-0.122,0.155,0,0,0,0,v
2017-01-01 07:36,-0.128,0.121,0,0,0,0,v
2017-01-01 07:42,-0.145,0.133,0,0,0,0,v
2017-01-01 07:48,-0.136,0.170,0,0,0,0,v
2017-01-01 07:54,-0.135,0.142,0,0,0,0,v
2017-01-01 08:00,-0.146,0.139,0,0,0,0,v
2017-01-01 08:06,-0.143,0.137,0,0,0,0,v
2017-01-01 08:12,-0.143,0.150,0,0,0,0,v
2017-01-01 08:18,-0.110,0.145,0,0,0,0,v
2017-01-01 08:24,-0.107,0.139,0,0,0,0,v
2017-01-01 08:30,-0.092,0.144,0,0,0,0,v
2017-01-01 08:36,-0.048,0.117,0,0,0,0,v
2017-01-01 08:42,-0.066,0.142,0,0,0,0,v
2017-01-01 08:48,-0.045,0.128,0,0,0,0,v
2017-01-01 08:54,-0.043,0.137,0,0,0,0,v
2017-01-01 09:00,-0.002,0.160,0,0,0,0,v
2017-01-01 09:06,0.042,0.130,0,0,0,0,v
2017-01-01 09:12,0.064,0.128,0,0,0,0,v
2017-01-01 09:18,0.092,0.145,0,0,0,0,v
2017-01-01 09:24,0.099,0.129,0,0,0,0,v
2017-01-01 09:30,0.101,0.111,0,0,0,0,v
2017-01-01 09:36,0.142,0.135,0,0,0,0,v
2017-01-01 09:42,0.160,0.146,0,0,0,0,v
2017-01-01 09:48,0.200,0.131,0,0,0,0,v
2017-01-01 09:54,0.223,0.159,0,0,0,0,v
2017-01-01 10:00,0.271,0.118,0,0,0,0,v
2017-01-01 10:06,0.314,0.142,0,0,0,0,v
2017-01-01 10:12,0.348,0.127,0,0,0,0,v
2017-01-01 10:18,0.366,0.110,0,0,0,0,v
2017-01-01 10:24,0.367,0.130,0,0,0,0,v
2017-01-01 10:30,0.409,0.168,0,0,0,0,v
2017-01-01 10:36,0.445,0.152,0,0,0,0,v
2017-01-01 10:42,0.482,0.129,0,0,0,0,v
2017-01-01 10:48,0.536,0.130,0,0,0,0,v
2017-01-01 10:54,0.581,0.125,0,0,0,0,v
2017-01-01 11:00,0.614,0.143,0,0,0,0,v
2017-01-01 11:06,0.619,0.127,0,0,0,0,v
2017-01-01 11:12,0.700,0.140,0,0,0,0,v
2017-01-01 11:18,0.722,0.147,0,0,0,0,v
2017-01-01 11:24,0.756,0.125,0,0,0,0,v
2017-01-01 11:30,0.793,0.125,0,0,0,0,v
2017-01-01 11:36,0.810,0.109,0,0,0,0,v
2017-01-01 11:42,0.871,0.129,0,0,0,0,v
2017-01-01 11:48,0.895,0.129,0,0,0,0,v
2017-01-01 11:54,0.925,0.121,0,0,0,0,v
2017-01-01 12:00,0.939,0.158,0,0,0,0,v
2017-01-01 12:06,0.987,0.124,0,0,0,0,v
2017-01-01 12:12,1.006,0.147,0,0,0,0,v
2017-01-01 12:18,1.016,0.122,0,0,0,0,v
2017-01-01 12:24,1.047,0.123,0,0,0,0,v
2017-01-01 12:30,1.049,0.108,0,0,0,0,v
2017-01-01 12:36,1.121,0.149,0,0,0,0,v
2017-01-01 12:42,1.119,0.137,0,0,0,0,v
2017-01-01 12:48,1.131,0.107,0,0,0,0,v
2017-01-01 12:54,1.151,0.099,0,0,0,0,v
2017-01-01 13:00,1.168,0.131,0,0,0,0,v
2017-01-01 13:06,1.189,0.124,0,0,0,0,v
