Date Time, Water Level, Sigma, I, L 
2017-01-01 00:00,0.784,0.184,0,0
2017-01-01 01:00,0.925,0.178,0,0
2017-01-01 02:00,0.933,0.191,0,0
2017-01-01 03:00,0.836,0.199,0,0
2017-01-01 04:00,0.696,0.179,0,0
2017-01-01 05:00,0.488,0.171,0,0
2017-01-01 06:00,0.159,0.156,0,0
2017-01-01 07:00,-0.118,0.152,0,0
2017-01-01 08:00,-0.146,0.139,0,0
2017-01-01 09:00,-0.002,0.160,0,0
2017-01-01 10:00,0.271,0.118,0,0
2017-01-01 11:00,0.614,0.143,0,0
2017-01-01 12:00,0.939,0.158,0,0
2017-01-01 13:00,1.168,0.131,0,0
2017-01-01 14:00,1.341,0.130,0,0
2017-01-01 15:00,1.273,0.122,0,0
2017-01-01 16:00,1.063,0.104,0,0
2017-01-01 17:00,0.800,0.093,0,0
2017-01-01 18:00,0.399,0.109,0,0
2017-01-01 19:00,0.135,0.074,0,0
2017-01-01 20:00,-0.015,0.080,0,0
2017-01-01 21:00,0.018,0.070,0,0
2017-01-01 22:00,0.082,0.090,0,0
2017-01-01 23:00,0.334,0.084,0,0
2017-01-02 00:00,0.616,0.076,0,0
2017-01-02 01:00,0.828,0.083,0,0
2017-01-02 02:00,0.962,0.093,0,0
2017-01-02 03:00,1.001,0.093,0,0
2017-01-02 04:00,0.886,0.095,0,0
2017-01-02 05:00,0.690,0.079,0,0
2017-01-02 06:00,0.435,0.081,0,0
2017-01-02 07:00,0.224,0.087,0,0
2017-01-02 08:00,0.104,0.081,0,0
2017-01-02 09:00,0.138,0.063,0,0
2017-01-02 10:00,0.250,0.077,0,0
2017-01-02 11:00,0.551,0.063,0,0
2017-01-02 12:00,0.924,0.080,0,0
2017-01-02 13:00,1.244,0.081,0,0
2017-01-02 14:00,1.520,0.088,0,0
2017-01-02 15:00,1.530,0.090,0,0
2017-01-02 16:00,1.442,0.083,0,0
2017-01-02 17:00,1.297,0.106,0,0
2017-01-02 18:00,0.959,0.119,0,0
2017-01-02 19:00,0.642,0.148,0,0
2017-01-02 20:00,0.427,0.177,0,0
2017-01-02 21:00,0.272,0.172,0,0
2017-01-02 22:00,0.272,0.176,0,0
2017-01-02 23:00,0.414,0.188,0,0
2017-01-03 00:00,0.682,0.200,0,0
2017-01-03 01:00,1.023,0.235,0,0
2017-01-03 02:00,1.220,0.215,0,0
2017-01-03 03:00,1.352,0.232,0,0
2017-01-03 04:00,1.282,0.188,0,0
2017-01-03 05:00,1.248,0.212,0,0
2017-01-03 06:00,0.991,0.194,0,0
2017-01-03 07:00,0.718,0.216,0,0
2017-01-03 08:00,0.521,0.170,0,0
2017-01-03 09:00,0.429,0.170,0,0
2017-01-03 10:00,0.450,0.221,0,0
2017-01-03 11:00,0.636,0.166,0,0
2017-01-03 12:00,0.933,0.156,0,0
2017-01-03 13:00,1.270,0.200,0,0
2017-01-03 14:00,1.594,0.196,0,0
2017-01-03 15:00,1.662,0.180,0,0
2017-01-03 16:00,1.806,0.200,0,0
2017-01-03 17:00,1.757,0.204,0,0
2017-01-03 18:00,1.459,0.186,0,0
2017-01-03 19:00,1.120,0.190,0,0
2017-01-03 20:00,0.755,0.183,0,0
2017-01-03 21:00,0.651,0.200,0,0
2017-01-03 22:00,0.577,0.181,0,0
2017-01-03 23:00,0.635,0.139,0,0
2017-01-04 00:00,0.737,0.174,0,0
2017-01-04 01:00,0.991,0.183,0,0
2017-01-04 02:00,1.291,0.174,0,0
2017-01-04 03:00,1.486,0.152,0,0
2017-01-04 04:00,1.495,0.134,0,0
2017-01-04 05:00,1.460,0.140,0,0
