Año,Mes,Día,Hora(utc),Altura(mm)
2016,4,1,0,524
2016,4,1,1,546
2016,4,1,2,568
2016,4,1,3,590
2016,4,1,4,607
2016,4,1,5,623
2016,4,1,6,643
2016,4,1,7,669
2016,4,1,8,694
2016,4,1,9,710
2016,4,1,10,706
2016,4,1,11,676
2016,4,1,12,618
2016,4,1,13,529
2016,4,1,14,418
2016,4,1,15,304
2016,4,1,16,204
2016,4,1,17,134
2016,4,1,18,112
2016,4,1,19,142
2016,4,1,20,218
2016,4,1,21,324
2016,4,1,22,438
2016,4,1,23,541
2016,4,2,0,615
2016,4,2,1,645
2016,4,2,2,634
2016,4,2,3,597
2016,4,2,4,549
2016,4,2,5,505
2016,4,2,6,487
2016,4,2,7,508
2016,4,2,8,566
2016,4,2,9,647
2016,4,2,10,728
2016,4,2,11,783
2016,4,2,12,791
2016,4,2,13,734
2016,4,2,14,611
2016,4,2,15,441
2016,4,2,16,259
2016,4,2,17,102
2016,4,2,18,5
2016,4,2,19,-10
2016,4,2,20,63
2016,4,2,21,204
2016,4,2,22,382
2016,4,2,23,556
2016,4,3,0,690
2016,4,3,1,756
2016,4,3,2,741
2016,4,3,3,658
2016,4,3,4,539
2016,4,3,5,420
2016,4,3,6,337
2016,4,3,7,320
2016,4,3,8,380
2016,4,3,9,503
2016,4,3,10,660
2016,4,3,11,811
2016,4,3,12,910
2016,4,3,13,921
2016,4,3,14,829
2016,4,3,15,640
2016,4,3,16,396
2016,4,3,17,153
2016,4,3,18,-35
2016,4,3,19,-122
2016,4,3,20,-87
2016,4,3,21,60
2016,4,3,22,283
2016,4,3,23,527
2016,4,4,0,737
2016,4,4,1,863
2016,4,4,2,877
2016,4,4,3,778
2016,4,4,4,599
2016,4,4,5,396
2016,4,4,6,226
2016,4,4,7,137
2016,4,4,8,158
2016,4,4,9,286
2016,4,4,10,493
2016,4,4,11,731
2016,4,4,12,934
2016,4,4,13,1045
2016,4,4,14,1025
2016,4,4,15,868
2016,4,4,16,602
2016,4,4,17,292
2016,4,4,18,14
2016,4,4,19,-164
2016,4,4,20,-201
2016,4,4,21,-86
2016,4,4,22,151
2016,4,4,23,450
2016,4,5,0,738
2016,4,5,1,944
2016,4,5,2,1020
2016,4,5,3,945
2016,4,5,4,740
2016,4,5,5,465
2016,4,5,6,197
2016,4,5,7,7
2016,4,5,8,-55
2016,4,5,9,30
2016,4,5,10,244
2016,4,5,11,536
2016,4,5,12,834
2016,4,5,13,1059
2016,4,5,14,1146
2016,4,5,15,1068
2016,4,5,16,836
2016,4,5,17,503
2016,4,5,18,157
2016,4,5,19,-115
2016,4,5,20,-244
2016,4,5,21,-199
2016,4,5,22,10
2016,4,5,23,329
2016,4,6,0,678
2016,4,6,1,971
2016,4,6,2,1133
